days,prob
142,0.003173709
143,0.003146708
144,0.003205818
145,0.003094652
146,0.002167619
147,0.001831444
148,0.001944313
149,0.002922186
150,0.003243522
151,0.003174682
152,0.003083706
153,0.002169808
154,0.001918529
155,0.002797398
156,0.003085165
157,0.003114599
158,0.003056705
159,0.003028731
160,0.002129915
161,0.001866716
162,0.002864536
163,0.003215305
164,0.003002216
165,0.003078354
166,0.003014865
167,0.002135753
168,0.001878392
169,0.002859671
170,0.003109977
171,0.003090273
172,0.003068624
173,0.002991756
174,0.002055966
175,0.001858202
176,0.002815642
177,0.003147438
178,0.003115815
179,0.003176628
180,0.003143302
181,0.002249351
182,0.001981288
183,0.003013892
184,0.00325082
185,0.002337165
186,0.003048191
187,0.003199007
188,0.002321597
189,0.002006586
190,0.002927781
191,0.003311633
192,0.003168601
193,0.003208007
194,0.002964512
195,0.002254703
196,0.001957449
197,0.00301219
198,0.003322093
199,0.0032209
200,0.003233549
201,0.003150113
202,0.002289001
203,0.001974233
204,0.002943106
205,0.003291686
206,0.003159357
207,0.003167628
208,0.003083706
209,0.00221408
210,0.001919745
211,0.002955512
212,0.003215305
213,0.003152546
214,0.003185872
215,0.003127978
216,0.002224053
217,0.001961098
218,0.00292097
219,0.003280983
220,0.003207278
221,0.003244739
222,0.003185142
223,0.002256162
224,0.002009505
225,0.00284167
226,0.003241333
227,0.003243036
228,0.003252766
229,0.003187088
230,0.002260784
231,0.001932637
232,0.002995162
233,0.003305795
234,0.003197791
235,0.00320071
236,0.003161303
237,0.002244973
238,0.00197399
239,0.002938484
240,0.003354932
241,0.003201196
242,0.003288767
243,0.003274415
244,0.002249595
245,0.002004153
246,0.00197399
247,0.003040893
248,0.003418907
249,0.003387284
250,0.003337661
251,0.002272947
252,0.002030425
253,0.003030677
254,0.003305795
255,0.003198521
256,0.003207521
257,0.00327028
258,0.002350301
259,0.002023613
260,0.003080543
261,0.003290227
262,0.003302146
263,0.003344715
264,0.003245225
265,0.002336922
266,0.002066426
267,0.003056218
268,0.003420853
269,0.00326955
270,0.003210683
271,0.003204602
272,0.002248378
273,0.001956233
274,0.003022406
275,0.003289497
276,0.003175898
277,0.003206548
278,0.003126032
279,0.002158132
280,0.001883744
281,0.002804939
282,0.003134545
283,0.003127734
284,0.003057191
285,0.003083462
286,0.002106319
287,0.001885933
288,0.002833643
289,0.003106328
290,0.003064732
291,0.003059867
292,0.003006352
293,0.002127725
294,0.00182585
295,0.002847265
296,0.003136978
297,0.003083462
298,0.003044542
299,0.002991027
300,0.002057425
301,0.001867202
302,0.002770397
303,0.003048921
304,0.002654609
305,0.003132843
306,0.00301
307,0.002085156
308,0.001832417
309,0.002838264
310,0.003080057
311,0.003020947
312,0.003045272
313,0.003020217
314,0.002107779
315,0.001848472
316,0.002838751
317,0.003011946
318,0.003065462
319,0.003146708
320,0.003157168
321,0.002134293
322,0.001823174
323,0.00309149
324,0.003308957
325,0.002959647
326,0.001827552
327,0.00233376
328,0.001970341
329,0.001813687
330,0.002853833
331,0.003222846
332,0.003044542
333,0.003034326
334,0.002923646
335,0.002008045
336,0.001796416
337,0.002809074
338,0.003066192
339,0.003067165
340,0.002964755
341,0.002844346
342,0.002036506
343,0.001823904
344,0.002835102
345,0.003113139
346,0.003134059
347,0.002974972
348,0.003017541
349,0.002095616
350,0.001807849
351,0.003014379
352,0.003322093
353,0.00326055
354,0.003374149
355,0.0032912
356,0.00220435
357,0.001762361
358,0.00185504
359,0.001606193
360,0.002685502
361,0.003442259
362,0.003462692
363,0.002326219
364,0.001907096
365,0.002498685
