,COUNTRY,C_ALPHAN,TRDBR,MNC,TRDPR,AUTO,IOPWR,GLBCTZ,IMMCRM,IMMGOOD,IMMJOB,IMMNEWCUL,IMMBADCUL,IMMEQURIGHT,IMMEXCLUDED,IMMEDU,IMMNUM,SEX,BIRTH,AGE,EDUCYRS,DEGREE,WORK,WRKHRS,EMPREL,NEMPLOY,WRKSUP,NSUP,TYPORG1,TYPORG2,ISCO88,MAINSTAT,PARTLIV,SPWORK,SPWRKHRS,SPEMPREL,SPWRKSUP,SPISCO88,SPMAINST,UNION,TOPBOT,VOTE_LE,BE_PRTY,CH_PRTY,CZ_PRTY,DE_PRTY,DK_PRTY,EE_PRTY,ES_PRTY,FI_PRTY,FR_PRTY,GB_PRTY,GE_PRTY,HR_PRTY,HU_PRTY,IE_PRTY,IL_PRTY,IN_PRTY,IS_PRTY,JP_PRTY,KR_PRTY,LT_PRTY,LV_PRTY,MX_PRTY,NO_PRTY,PH_PRTY,PT_PRTY,RU_PRTY,SE_PRTY,SI_PRTY,SK_PRTY,TR_PRTY,TW_PRTY,US_PRTY,ZA_PRTY,PARTY_LR,HHCHILDR,HHTODD,HOMPOP,US_INC,ZA_INC,MARITAL,URBRURAL,CASEID,names,UNEMP,TRAINEE,hhinc,inc_st
277,840,US,5,5,1,5,1,5,2,2,2,2,5,4,1,1,5,1,1957,57,16,5,1,40,2,0,1,0,NA,NA,2412,1,1,1,NA,1,0,3300,1,0,6,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,6,990,4,0,0,2,160000,NA,1,2,2.01308E+14,United States,0,0,160000,2.24833735
278,840,US,2,1,4,2,4,4,4,4,2,3,4,2,1,2,5,1,1956,58,15,3,1,60,1,0,2,0,NA,2,1233,1,1,1,40,1,0,4114,1,3,7,2,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,0,990,0,0,0,2,140000,NA,1,2,2.01308E+14,United States,0,0,140000,1.820082617
279,840,US,2,2,2,4,4,4,3,3,2,2,4,2,1,1,3,2,1971,43,16,5,2,0,1,0,0,0,NA,2,4121,7,1,1,40,1,0,3415,1,3,9,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,6,990,4,3,0,5,140000,NA,1,2,2.01308E+14,United States,0,0,140000,1.820082617
280,840,US,1,3,3,4,3,4,4,2,4,2,3,4,3,2,3,1,1988,26,12,3,1,50,1,0,2,0,NA,2,7231,1,3,NA,0,0,0,NA,0,1,6,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,6,990,4,0,0,5,1.00E+05,NA,6,2,2.01308E+14,United States,0,0,1.00E+05,0.96357315
281,840,US,5,3,2,4,5,5,5,1,4,2,5,5,2,3,3,1,1950,64,16,5,1,40,1,0,1,0,NA,2,2411,1,1,1,35,1,0,1227,1,3,7,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,2,990,3,0,0,2,140000,NA,1,2,2.01308E+14,United States,0,0,140000,1.820082617
282,840,US,3,2,2,4,1,3,2,3,4,3,4,4,1,2,5,2,1943,71,12,3,2,0,1,0,0,0,NA,2,1227,6,1,1,20,1,0,2142,1,0,6,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,6,990,4,0,0,2,160000,NA,1,2,2.01308E+14,United States,0,0,160000,2.24833735
283,840,US,3,4,2,4,NA,4,3,2,4,3,4,4,2,2,1,1,1947,67,17,5,2,0,1,0,0,0,NA,2,2411,6,1,1,8,2,0,2332,1,3,6,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,6,990,4,0,0,2,500,NA,1,2,2.01308E+14,United States,0,0,500,1.166994148
284,840,US,2,1,2,2,1,3,1,4,2,4,2,5,1,4,4,2,1944,70,12,3,1,33,1,0,2,0,NA,2,9151,1,3,NA,0,0,0,NA,0,3,5,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,6,990,4,0,0,1,21750,NA,5,2,2.01308E+14,United States,0,0,21750,0.711973494
285,840,US,3,2,2,2,4,3,5,2,4,2,4,2,4,1,4,2,1993,21,14,3,2,0,1,0,0,0,NA,2,4115,3,3,NA,0,0,0,NA,0,3,6,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,2,990,3,0,0,2,1.00E+05,NA,6,1,2.01308E+14,United States,0,0,1.00E+05,0.96357315
286,840,US,2,4,4,4,4,4,3,4,2,4,4,4,2,2,3,2,1959,55,13,3,2,0,1,0,0,0,NA,2,4222,2,3,NA,0,0,0,NA,0,0,3,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,2,990,3,0,0,1,2000,NA,4,1,2.01308E+14,United States,1,0,2000,1.134875043
